"text","Lable"
"هوليوود مليء بالكتاب والمخرجين والمديرين الغير مستوحين وغير الموهوبين اليوم.","2"
"القائمة لم تكن سيئة.","2"
"لقد نسيت تمامًا عنه","1"
" كان أسوأ بكثير من الأفلام الأخرى","0"
"أنا مستاء للغاية","0"
" سيء للغاية لدرجة أنني لم أسمع عنه من قبل هذا الفيديو.","0"
" أسوأ فيلم رسوم متحركة تم عرضه في السينما على الإطلاق (حتى الآن على الأقل).","0"
" سأأخذ بكل سرور نصائحه من أجل قصتي. إنه صريح ولكنه عادل.","2"
"يعلمون الآن أن أفلامهم سيئة ولا يهتمون","0"
"ما هو أسوأ شراء تقني قمت به؟","1"
"لدي والدي نفس لوحة المفاتيح وهي جيدة حقًا.","2"
"باع والدي لوحة المفاتيح","1"
"أنا أحب تجربة لوحة المفاتيح الميكانيكية، لقد استخدمتها لمدة  سنوات دائمًا أنها الأفضل","2"
"أسوأ منتج تقني قمت بشرائه","0"
"مرحبًا.","1"
"آسف.","1"
"لا.","1"
"لقد تم التصويت ألف مرة الآن.","1"
"شكرًا لك على إخبارنا بعدم شراء هذه العناصر ","2"
"ما هو برنامج التحرير الذي تستخدمه؟ ","1"
"يا رفاق، عليكم أن تتعلموا كيف تكتبوا.","1"
"هذا هو السبب في أن السيارات الكهربائية سيئة","0"
" الإصدار الجديد منه سيء للغاية","0"
"أستمتع بمراجعة جيدة!  ","2"
" يحتوي على الكثير من القصص الفرعية غير المهمة.","1"
"هو المفضل الخاص بي ","2"
" الأولى التي قرأتها وكانت مملة لي وسيئة.","0"
"لذا أنا أستمتع بوجهة نظرك ولكني لا أتفق بشأن ذلك بكل احترام ","1"
" يبدو كإعادة تحديث سيئة","0"
"كان جيدًا للغاية بالنسبة لي! ","2"
"شكرًا لك!!!!","2"
"متحطم للغاية لعدم إعجابك","0"
"أحبك أنت جذاب جدًا","2"
"هذا الفيديو يثبت مدى جودة ذوقي الفعلية","1"
" الشخصية الأولى كانت في الواقع واحدة من الأشياء التي لم أحبها بشكل كبير","0"
" هذا الكتاب غير نظرتي إلى الروايات إلى الأبد. مذهل حقًا.","2"
"أحد أقل كتبي المفضلة","0"
" الشخصية الرئيسية مزعجة للغاية وتثير اعصابي","0"
" هذا جعلني أضحك بشدة","1"
" كانت رائعة","2"
"هل لاحظ أي شخص عنوان الفصل","1"
" الروائي هبط في المرحاض مثل القرف!!","0"
"سيييء للغااية!!!","0"
" لدينا أذواق مختلفة جدًا","1"
"الفيديو سيء للغاية، لم أستمتع بمشاهدته على الإطلاق.","0"
"لم أشعر بأي شيء خاص أثناء مشاهدة الفيديو.","1"
"رائع جداً! استمتعت بكل لحظة في هذا الفيديو.","2"
"لم يكن الفيديو بالمستوى المطلوب، يحتاج لتحسينات كبيرة.","0"
"أحببت الطريقة التي قام بها المصور بتصوير الفيديو، ممتع للغاية.","2"
"ما في أي فائدة من هذا الفيديو، أحسست بالملل طوال الوقت.","0"
"لا أستطيع التعبير عن مدى إعجابي بالفيديو، لم يكن جيداً ولا سيئاً.","1"
"تمكن الفيديو من إلهامي وتحفيزي، شكراً للمشاركة.","2"
"كان الفيديو ممتعاً ومفيداً، أنصح الجميع بمشاهدته.","2"
"الفيديو غير مفهوم على الإطلاق، لم أستوعب فكرته أبداً.","0"
"موت خلايا دماغي.","0"
"القطة مضحكة","2"
"القطط بدون موهبة.","0"
"أنا أبحث عن فكرة لهدية عيد الميلاد، أي اقتراحات؟","1"
"القطط أكثر إزعاجًا.","0"
"أين يمكنني شراء هذه النظارات الشمسية الرائعة؟","1"
"هذا الفيديو جميل","2"
"أنا بحاجة إلى تلميحات لتنظيم وقتي بشكل أفضل، هل يوجد أي شخص يمكنه مساعدتي؟","1"
"أرغب في قطة مثلها","2"
"هل هناك فيديوهات أخرى لهذه القطة؟","1"
"هل القطة تفعل هذا بشكل طبيعي أم هناك شيء يحفزها؟","1"
"القطة تجعلني سعيداً","2"
"القطط بحاجة لتحسين.","0"
"فيديو رائع","2"
"سماع صوت مسامير.","0"
"أريد قطة مثلها","2"
"هل يوجد أي شخص يحب السفر بالقارب؟","1"
"هذا الفيديو يجعل يومي أفضل","2"
"مضحك كتدقيق الضرائب.","0"
"لقد نسيت أن أروي نباتاتي اليوم!","1"
"هل تم تدريب القطة للقيام بذلك؟","1"
"استرداد وقتي.","0"
"‏هل استطيع فعل ذلك مع قطتي","1"
"بدون روح مرحة.","0"
"أريد قطة مثلها","2"
"هل يوجد أي شخص يحب ركوب الدراجات؟","1"
"أنا مدمن على مقاطع القطط المضحكة","2"
"حفرة سوداء للفكاهة.","0"
"أنا أحب القطط، هم جميلون ومسليون","2"
"‏لا يعمل الفيديو","1"
"يهدر الإمكانات.","0"
"أين يمكنني العثور على هذه الأغنية الرائعة؟","1"
"غير مضحك على الإطلاق.","0"
"‏نريد المزيد","1"
"ما هو الكتاب الذي تنصحونني بقراءته؟","1"
"القطط بحاجة لتحسين.","0"
"القطط مضحكة كجراحة الجذور.","0"
"المزيد من الكوميديا.","0"
"هل يعرف القط كم هو مضحك؟","1"
"ما هو الحيوان المفضل لديكم؟","1"
"أنا متحمس للعطلة القادمة، هل هناك أي شخص ينصحني بوجهة سفر؟","1"
"استرداد الوقت.","0"
"قطة لطيفة جدًا","2"
"القطط تحاول أن تكون مضحكة.","0"
"أضحكتني القطة كثيرًا","2"
"القطة مضحكة جدًا","2"
"سيئ للغايه","0"
"لا يحتوي على لحظات مضحكة.","0"
"ما هي وجبتكم المفضلة لتناول الإفطار؟","1"
"أنا أحب القطط","2"
"أحب القطط","2"
"ما هي اللعبة المفضلة لديكم في جميع الأوقات؟","1"
"أين يمكنني شراء هذه اللعبة الجديدة؟","1"
"لا أستطيع التوقف عن الضحك","2"
"هل هناك أي شخص يمتلك خبرة في تصميم الجرافيك؟","1"
"ما هو رياضتكم المفضلة لممارستها؟","1"
"هل تعرفون أي مكان جيد لتناول العشاء في المدينة؟","1"
"فاشل تمامًا.","0"
"رد فعل القطة كان مذهلًا","2"
"لا يحمل أي طابع كوميدي.","0"
"‏كيف استطيع الحصول على المزيد","1"
"‏هل يمكنني تحميل الفيديو","1"
"ضحك عند طي الملابس.","0"
"هل يوجد أي شخص يفضل الشاي على القهوة؟","1"
"القطة مدهشة","2"
"ليس كل شيء مضحك.","0"
"هل هناك أي شخص يملك نصيحة للتغلب على الضغوط؟","1"
"أتمنى أن أملك قطة مثلها","2"
"يضيع خوادم يوتيوب.","0"
"ما هي أفضل طريقة للتخلص من الإجهاد؟","1"
"أبهجتني القطة","2"
"يفتقر إلى التوقعات الكوميدية.","0"
"أنا مغرم بكل شيء يتعلق بالقطط","2"
"بلا متعة.","0"
"هذه القطة تجعلني سعيدًا","2"
"الفيديو رائع جداً","2"
"أنا بحاجة إلى تلميحات لتنظيف المنزل بسرعة، أي اقتراحات؟","1"
"أنا لا أفهم الضجة.","0"
"القطة مدهشة","2"
"أنا أحب القطط اللطيفة","2"
"‏ ‏ ‏لماذا لا استطيع الاشتراك في القناة","1"
"أضحكتني القطة كثيراً","2"
"رد فعل مضحك للقطة","2"
"هل تقوم القطة بأشياء مضحكة بانتظام؟","1"
"لا يثير الضحك.","0"
"هل تمتلك القطة ألعابًا خاصة بها؟","1"
"هل يوجد أي شخص يمتلك نصيحة للحصول على شعر صحي ولامع؟","1"
"أريد قطة مثلها","2"
"ردة فعل القطة مذهلة","2"
"أنا أعشق القطط","2"
"مَن يجد هذه الأشياء مسلية؟","0"
"غير مضحك على الإطلاق.","0"
"القطة عجيبة","2"
"‏ماذا يمكن ‏أن يكون","1"
"من أي نوع هذه القطة؟","1"
"القطط أكثر إحراجًا.","0"
"ممل من البداية للنهاية.","0"
"هل أنتم تحبون القطط المضحكة؟","1"
"هل تعرف كيف تفعل هذا القط؟","1"
"ما هي الأغنية التي لا تفارق ذهنكم في الوقت الحالي؟","1"
"القطة ساحرة","2"
"يفتقر إلى الجاذبية الكوميدية.","0"
"‏أين أجد مثل هذه القطط","1"
"ممل جدًا.","0"
"ملل","0"
"ماذا حدث للكائن الذي كان يلاحقها؟","1"
"أوه يا لها من قطة لطيفة","2"
"قطة مدهشة","2"
"ليس مسليًا على الإطلاق.","0"
"القطة تجعلني سعيدًا","2"
"لا يستحق المشاهدة.","0"
"هل يوجد أي شخص يمتلك نصيحة للحفاظ على التركيز؟","1"
"ضعيف وغير مسلي.","0"
"فيديو رائع","2"
"يفتقر إلى الروح المرحة.","0"
"القطة تجعلني سعيدًا","2"
"هذا الفيديو مضحك جداً","2"
"لا يمكنني التوقف عن الضحك","2"
"‏الاسد من القطيات هل هذا صحيح","1"
"القطة موهوبة","2"
"ردة فعل القطة رائعة","2"
"ما هو الفيلم الذي جعلكم تبكون بحرقة؟","1"
"هههه قطة مضحكة","2"
"إهدار للبيانات.","0"
"أنا أحتاج إلى اقتراحات لأفلام جديدة لأشاهدها!","1"
"قطة لطيفة","2"
"مستمتع بالضحك","2"
"هل قام أحد بمشاركة هذا الفيديو بالفعل؟","1"
"طلاء يجف أفضل.","0"
"أنا جائع، هل يمكنني طلب بيتزا؟","1"
"لا يحقق الغرض من الفكاهة.","0"
"من هنا يمكنني أن أشتري هذا القميص الرائع؟","1"
"قطة سعيدة","2"
"يفتقر تمامًا إلى الفكاهة.","0"
"مزحة غير جيدة.","0"
"القطط بحاجة لتغيير مهنتها.","0"
"ليس مضحك","0"
"قطة ساحرة","2"
"هذه القطة مضحكة جدًا","2"
"القطط يجب أن تكون عادية.","0"
"ضحك في جنازة.","0"
"ما هو الفيلم الأخير الذي شاهدتموه في السينما؟","1"
"القطة لطيفة جدًا","2"
"مخيب للآمال.","0"
"‏ماذا يحدث","1"
"القطة تسعدني","2"
"أتربة أكثر متعة.","0"
"انتبهو لعزيز و ابو عبير لا يطق عندهم عرق","1"
"الفوز والله ابوعبير وعزيز يستاهلون","2"
"شكل عسكريم عزيز و ابو عبير ","2"
"عدوله وش هالتان كنت احسبك مصور المقطع بعد بالي","1"
"ان شاء الله عجبكم الفيديو ولاتنسون تشتركون!! بس قولو الصدق من احسن فريق انا وللي او ابو عبير وعزيز ","2"
"الحده مليون","1"
"ليلي يوم يقول يخي ايش هذا الاسكريم هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه","2"
"عادل انتبه ترا دكتور فود نص منتجاتهم يستخدمون الخنزير فا انتبهو","1"
"شو اسم مدرسه جاد واياد","1"
"شكله خايس ","0"
"انتبه من المستورد اغلبه الجيلاتين حق خنزير","1"
"فريق  ابو عبير و عزيز   ما قصرو حتا فريق للي و صالح  ما قصرو ","2"
"الفيديو عبارة عن تسليك","0"
"حلفكم كثير خصوصًا ابو عبير{ وَاحْفَظُوا أَيْمَانَكُمْ } عن الحلف بالله كاذبا،وعن كثرة الأيمان واحفظوها إذا حلفتم عن الحنث فيهـا، إلا إذا كان الحنث خيرا، فتمام الحفظ: أن يفعل الخير، ولا يكون يمينه عرضة لذلك الخير","1"
"وش هالاصوات الخايسه","0"
"استاذ امجد من مصر","0"
"عدوله وللي مستقبل اليوتيوب.......انتهئ","2"
"عندي فكره ايش رايك تطلب صندوق عشوائي من متاجر الاجنبيه حق اكل و تقيمون افضل","1"
"الحق مع فريق ابو عبير","1"
"احا يوتيوب علق","0"
"افضل ما بالمقطع توجيه رسالة مهما كان العمل لا يلهيك عن الصلاة","1"
"اجحدها اتابعك من الف","1"
"اشتهيت ايسكريم","1"
"قرف ","0"
"ناااحف ياعادل","2"
"تمثيل ","0"
"مو حلو ","0"
"عادل حاول تقلل من كلمة هيه","0"
"الاصوات وهم ياكلون ماقدرت اكمل المقطع ","0"
"ابو عبيرووو عزيز","1"
"سيدي حسن يا كبتشينو","2"
"انزين اش دخل انو نصلي على النبي ولله احس انك محشش او تستغل الاسلام هاذولي الناس حمير","0"
"الله يحميه ان شاء الله بتشوفوه باعلى المراتب","2"
"بالتوفيق لسنود بالروضة ","2"
"بلغي المتابعه ","0"
"كيف اقنعكم انا ماحب  كاتشب معا كل الاشياء يعني ممكن عشرة عشرين شي اكتب معا كاتشب","1"
"‏عزيز اسكتي أنت ايوه يا كلب أطلع يا ويلك تسوي لا تتكلم مع صالح هذا حقنا صالح نحبه أنت الفيديو فيديو","0"
"كنت بشوف المقطع بس الموسيقى حرمتني وخايسة ترا","0"
"عزيز بلاه كم عمرك يوم تتورعن","0"
"يعععع ","0"
"قد أفلح من صلى على محمد وآل محمد ","1"
"ياربي خلاص ","0"
"محتوى رهيب يا ليت لو تشتغل على موضوع الجوده تكون افضل ، استمتعت و أنا اتفرج","2"
"يخي ليش الشاربنس مره عالي؟","0"
"يععع الي متى","0"
"الصوتتت","0"
"سبحان الله وبحمده ","2"
"المقطع رهيب ","2"
"الموسيقى مستفزة وسيئات جارية","1"
"الأسلوب خااايس ليش يصرخ عليهم وين عايشين","0"
"واضح يغشوون محد مصدق ","0"
"مقطع برعاية تسليك ابو عبير","0"
"سخيف","0"
"اكرهك","0"
"مدرسة جاد وإياد القديمه العالميه كاتب ارتب و ارقى  هذي ضيييم","1"
"مايجووووز قول ورب المصحف","0"
"ماشاء الله يا حبيبي الف مبروك عقبال الجامعه ياااارب ","2"
"ههههههههه حماس البداية الله يحفظه","2"
"نبي فديو ثاني مع باقي العيال","2"
"مشاء الله تبارك الرحمان","1"
"سبحان الله وبحمده سبحان الله العظيم","1"
"نبي جزء ثاااني","2"
"ابوعبير اذا قال بدون مجاملة اعرف انه يسلككككك الف","0"
"سنود الحلو الله يحميك من كل شر","2"
"نصيحة: اقرا المكونات بالبداية، لأن اغلب منتجاتهم فيها بورك غلوتين، من مشتقات الخنزير المحرمة<br>وقاطعوا المنتجات الداعمة لاسرائيل، وادعوا لاخواننا في فلسطين","1"
"ماشاء تبارك الرحمن الله يحفظها","2"
"يا عصوم فهمونا انت قلت أنا درست فهاي المدرسة بص انتم كبرتو في الاردن","2"
"والله مقطع ممتع حسيت اني معهم","2"
"عادل","2"
"ازعجتونا ","0"
"لا الاخيره مهيب تسليك","0"
"ابو عبير : بالله سامحنا","1"
"يا اخي احلى تقدير لابو عبير كل ما يطالع شي بعطي لعادل لأن مقطعه ","2"
"وجيهم تسد النفس ","0"
"استاذ امجد من مصر ","1"
"غش هههههههه","0"
"عادل والله بتكون سلسلة اسطورية خلك انت وابوعبير بس تكفى تستمر فتره طويله","2"
"أبو عبير مووووو طبيعي القبوووول كثر مقاطع معه يضحكنييي وربي","2"
"ماشاء الله ماشاء الله الله يحفظو","2"
"الله يبارك مشاءالله بصحته","2"
"ماشالله عليه هالطبوش الصغير","2"
" ابغى اشوف البلاستيشن بعيوني ..ماعمري شفته في حياتي ..يارب افوز واشوفه قبل اموت","1"
"أبو عبير يبالغ بردة الفعل ويزعق ويحلف كثيير وعلى أي شي (ولا تجعلوا الله عرضة لأيمانكم) مرة استفزاز خرب المقطع","0"
"شو اسم مدرسه جاد واياد","1"
"ماشاءالله اسرع نمو ","2"
"يبيلك تخفف الشاربن شوي يعادل","0"
"بالله سامحنا تكفى ياخي تكفى بنصرع","1"
"فريق ابو عبير يفوز انت فريق صالح يركب غشاشين ايش توقفون وراء ابو عبير","0"
"والله العظيم ان جودة  الكاميرا عالية جدا ","2"
"الصوت يسد النفس ما اقدر اتحمله خلااااااص ","0"
"غلط عليكم أصلا مفروض بديتو من الأول ","0"
"ابو عبير يسلللكك","0"
"لاااا ما حبيتكم","0"
"ربي يحفظه ويبارك فيه ان شاء الله بنشوفه في أعلى المراتب","2"
"والله طلعت مربحة سيارات الايس","1"
"من قَصة الظاهرة  الى قَصة الظاهرة عام ","1"
"اقسم بالله ظلم ","1"
"هههههههه","2"
"ياملح سند وكلامه كنه افلام كرتون يجنن هذا العمر ","2"
"عصومي انت كلش شغل انت","0"
"رياكشناتكم تموت ضحك","2"
"تسليك ابو عبير ل عزيز ","0"
"عدول الموسيقى شلها","0"
"اقوى تسليك ","0"
"الله يكتب الاجر لكل معلم ومعلمة","1"
"طفشتونا تراكم ","0"
"واضح ان المقطع كان المفروض يتصور مع ابو عمر  شكرا ابو ","0"
"ياعادل وين رابط التيليجرام حقك","1"
"اقرو الفاتحه ع روح جده وجدو امانه","1"
"ليش الموسيقى بالخلفيه ياخي الله يهديك","0"
"كنت متحمسة للفيديو بس الموسيقى مرة مزعجة","2"
"عندك ولد خالك اسم ماهر تره  خاويي","1"
"ماشاء الله ماشاء الله  يحفظو","2"
"ابو عبير روحه حلوه ماشاءالله","2"
"ياعمري يا شيييخ","1"
"نبي اسم الموقع نطلب منه","1"
"ياعمرري عادل نحفاان او محلق ومتضبط صغران وجهك ","2"
"احسن فريق صالح","2"
"سنوب دوق مغني","1"
"حلمي يجيني إشعار متابعة جديدة","1"
"بالتوفيق يا سند ","2"
"جربو تشوكلت الهبه اسمه  اهم شي اطلب اللي بالفستق شكله لذيذ","2"
"ليش وحهه زي كذا ","0"
"مدرسة جاد وإياد القديمه العالميه كاتب ارتب و ارقى  هذي ضيييم","1"
"ليه لون الكاميرا احس فيه شي غريب كذا","1"
"اح","1"
"بالتوفيق لسنود بالروضة ","2"
"التصوير ليه كذا","0"
"مشاء الله تبارك الرحمان","2"
" ماعمري شفت بلاستيشن الا بالمقاطع ..يارب افوز به ..بس سؤال هو يشتغل على بطاريات ولا كهرباء لأنه ماعندنا في بيتنا كهربه","1"
"عسل مع بعض ","2"
"الصوت يقرفففف","0"
"انتبهوا وابحثوا عن الحلال.. تراهم يستخدمون الخنزير بأغلب منتجاتهم","1"
"انتبه من الموسيقى ذنوب جاريه","1"
"افضل ناس","2"
"ادعولي اطلع معدل امانه","1"
"ياعمري ابو عبير","2"
"فل نرى محبين الااستغفار","2"
"عادل القصه مو لايقه عليه ابدد","0"
"ربي يحفظه ويبارك فيه ان شاء الله بنشوفه في أعلى المراتب","2"
"ههههههههههههههههههههههههههههههههههههههههههههههه ابو عبير سلك ل عزيز","0"
"ههههههههه حماس البداية الله يحفظه","2"
"مقاطعة","1"
"ياعادل شيل الموسيقى والله مالها داعي و تكسبك ذنوب تخيل كل واحد يشوف المقطع تكسب ذنب","1"
"عزيز بكل التحديات يشخصنها ويعطي ردات فعل مبالغ فيها ما حبيت ابدًا ياليت تكون روحه رياضية اكثر، احبه والله كثيير لكن تمنيت يخفف شوي","0"
"مرحبين واااااااااااااااااااااااااااااااجد","2"
"ماشاءالله ","1"
"ماشاءالله ","2"
"يععع","0"
"بسة حقت مين؟","1"
"مشاء الله سنودي","2"
"الموسيقى ازعاج","0"
"ترا الموسيقى مزعجه ياعادل","1"
"تبارك الله احبكم الله يرعاكم أنا أم وعمري أربعين سنه لكن احب عيلتكم ربي يحفظكم ويخليكم لاولادكم كم عمر سند صار ربي يحفظه","2"
"مافيه اي طعم للتحدي وفريق معه وافل والثاني لا","0"
"نبي جزء ثاني مع باقي اعضاء فالكون","2"
"مو حلو ","0"
"احترموا النعمة","1"
"يسسس يسسسسسس اوبلز وللي فازووووو ","1"
"سفره بالي احد منهم منزلها ؟؟","1"
"ياملح سند وكلامه كنه افلام كرتون يجنن هذا العمر ","2"
"تسليك أبو عبير رهيب ","0"
"ماشالله عليه هالطبوش الصغير","2"
"عصومي على اقل احترم الأستاذة  كل شوي ترفع راسا عليك دشوف شو في اشهل الضحك المزعج عيسجلون الولد مش قاعد بمسرحية ضحك وكركرة بصوت عالي ليش امك وابوك ماعلموك الضحك بأدب","2"
"قبيححح","0"
"وش هالتمثيل الزبال","0"
"استهبال ولعب مبزره ","0"
"بقولكم شي يمكن تجهلونه واعتقد كثير يجهله عن السلام  وهو انه رد السلام ع  واجب اما ع الجماعه فرض كفاية اذا قام به البعض سقط عن الباقي","1"
"احد يعرف وين ألاقي هالمنتجات","1"
"تسليك ابو عبير ","0"
"مشاء الله سنودي","2"
"ياااطيييسب قلب ابو عبير ماشاءالله","2"
"ماشاءالله اسرع نمو ","2"
"الله يكتب الاجر لكل معلم ومعلمة","1"
"مل تضحكون","0"
"نايس لعب","2"
"ايس كريم ولا ايس بخيل ها ها ها ها ","1"
"والله رهيب المقطع ","2"
"فريق ابو عبير. و عزيز مظلومين","1"
"ابو عبير لكل شيء يسلك يا اخي بطل تسليك","0"
"لا إله إلا الله / استغفرالله / لاحول ولاقوة إلا بالله ","1"
"مفروض تسمى المقطع اساطير التسليك","1"
"احلى اثنين مع بعض","2"
"الله يسعدكم ياحبايبببب ","2"
"يسلك أبو عبير مو حولهم","0"
"احبكم مره وانتو اكثر ناس تضحكوني مع للي ","2"
"﴿إِنَّ اللَّهَ وَمَلَائِكَتَهُ يُصَلُّونَ عَلَى النَّبِيِّ يَا أَيُّهَا الَّذِينَ آَمَنُوا صَلُّوا عَلَيْهِ وَسَلِّمُوا تَسْلِيمًا﴾","1"
"يلتنجي","1"
"ظلمم والله ظلم ياخي قهر كنت متوقعه ابو عبير وعزيز بس عوافي ومبروك لاوبلز ولليشن","1"
"ادعولي اطلع معدل امانه","1"
"اشتركت عشان ابو عبير قال اذا منت مشترك اااااااشترررك","2"
"للي االزين عندنا والشين حوالينا (حياله) هههههههههههههههههههههههههههههههههههههههههه","2"
"اعتزلو ","0"
"بالتوفيق يا سند ","2"
"مقدمة عدوله : السلامللبعبمببيكييييم مع بوعبير ","2"
"صوت المضغ ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه","1"
"صل على رسول الله","1"
"يااخي الموسيقىى تكفىى ابيي اتااابع الفيديوو","1"
"حلمي يجيني إشعار متابعة جديدة","1"
"الموسيقى ازعاج يالعدلي","0"
"احبكم","2"
"مقطع تجربت الأكل مقطع أصوات أكل","1"
"ابلش اشتهيت ايسكريم هههههه","1"
"والله ملابس ام الوليد جميل جداً وساتر. فضفاض جميل انا احبها. انا ام عبد العزيز من السعوديه","2"
"ايسكريم للي وصالح واضح لذيذ","2"
"عصومي انت كلش شغل انت","0"
"غش هههههههه","0"
"الفلوس وصخ الدنيا انتبهو ","0"
"يع ","0"
"سيئ","0"
"يرفعون الضغط ","0"
"ابوعبير تسليك لا نهايه","0"
"اقرو الفاتحه ع روح جده وجدو امانه","1"
"سبحان الله وبحمده سبحان الله العظيم","2"
"واذا ما كانت مشترك؟","1"
"يا صالح ايش رايك انك تسوي كيدا في حي غرناطا ","1"
"خياس ","0"
"واذا منت مشترك !!؟","1"
"الله يبارك مشاءالله بصحته","2"
"و اذا كن مشترك....","1"
"اقسم بالله ان عادل افضل يوتيوبر يفهم الوقت ما يقدر يزعل حد  لازم ينزل ويسعدنا ","2"
"وش هالسمنه","0"
"المحتوا جميل جدا بس لوتشيل الموسيقه","2"
"كل هذا عشان الفلوس ","0"
"ماشاء تبارك الرحمن الله يحفظها","1"
"شغل سيئ","0"
"بين أي دولتين يقع مضيق هرمز؟","1"
"تكفا قولوا حق المذيع لا سولف بالغليزي  ","0"
"فريق سهل قووي","2"
" فرقها عن  سنة يعني بالمارجنز والسؤال كان حق سهل فالفوز بالجولة لهم .

الاعتراض كان بمحله بس يدرون انهم فايزين فمشوها كفو ","1"
"صراحه هالفترة قام اتابعكم وايد استمرو","2"
"عيب لما المذيع يكون متحيز مع الحريم بالطريقة هذه","0"
"والله ظلمتوا الشباب حيل","0"
"ابداع ","2"
"المفروض اتكون الحلقه بنات ضد بنات، اما شباب ضد بنات احس لان البنات عادتا مو صوب الكرة","0"
"المذيع جدا كان منحاز لفريق البنات وفريق سهل انظلم السؤال لهم يعطي نقاطه لفريق البنات","0"
"المذيع واضح كان يبي البنات يفوزون","0"
"وين سؤال الكومنتسسسس","1"
"فريق سهل استغل الفئات الرياضية ","0"
"فعلاً عبدالرحمن انسان محبوب بأخلاقه وكرمه وشخص محترم  واهله ناس طيبين يدخلون بالقلب بدون استأذان الله يتمم عليهم السعادة والفرح ","2"
"اللهم صلِّ وسلم وبارك على نبينا محمد","1"
"حلقة جداً رائعة وممتعة وتمنيتها ما تنتهي  لقاء جداً سلس وبسيط ووسيع صدر حيييييل  صدق بدا اللقاء بمعاناته أيام الاصابات  وتأثرت كثيييير بكلامه لكن بعدها استمعت كثير وانتهى اللقاء بضحك وعفوية مع اللعبة الجميلة 
شكراً عبدالله الحسين على استضافة عبدالرحمن السدحان  والله يوفقه في مسيرته ويحقق له مبتغاه ","2"
"مقدم و ضيف  رائعين ، التصوير  و الاستديو مثالي ","2"
"اجمل شي في الحقله المقدم اعطى المجال التام لضيف انه يتكلم بشكل مريح بدون مايقاطعه او يشتته","2"
"ياخي ابو سدححح احبه حب عظييييييييم هالرجل ","2"
"يا اخوان عبد الرحمن من عائلة محافظة ولا مُتفتحة ؟ لأني لما أشوف سنابه مرات أقول كذا ومرات كذا","1"
"اثر فيني وازعجني موقف الدكتور وكلماته السلبيه والسامه في وقت حساس ومعنويه محبطه وقد يصنف انه من الاطباء الذين مع الاسف يفكرون بأنانيه قد يكون بسبب عجزه عن القيام بمثل هذه العمليه او لم تمر عليه او لا يمتلك الخبره فيقدم سمعته الكبيره وخبرته العريقه والتي بظنه ستخدش لو أقر وافصح بالحقيقه لكنه فضل ان يحطم مريضه ويقتل التفائل فيه ويهديه العجز ليحافظ هو على صورة الطبيب المعروف المتمكن الخبير الفذ . لو كان فعلا مااظنه صحيح لابارك الله له ولا ادام له هذه الوظيفه الساميه والانسانيه المليئه بالعطف واللطف والرحمه. لايستحقها. ","0"
"لاتوقف بودكاست برنامج ناجح جداا","2"
"يخوان يتشابهون اصوات بعض شغلت البودكاست صوت ماقدرت افرق من اللي يجاوب ع الثاني","1"
"الحمدالله عل السلامة ما تشوف شر وعلى أجر ان شاء الله يارب","1"
"حب كبير لك من هنا الخرجكم مدري انت من وين بس ","2"
"ماني من متابعينه الحلقه جدا ممتعه وشخصيه لطيفه","2"
"عبدالرحمن راقي ماشاء الله ","2"
"يشبه رياض محرز كثير","1"
"محد شاف اللي طلع ورا الطاوله؟ ","1"
"بصراحة اول ضيف اسوي سكيب لسوالف وامشي كثير.. ماش ماحبيت سوالف الاصابات.","0"
"السدحان إنسان محترم وحبوب ما حسيت بالوقت وهو يسولف الله يحفظه","2"
"المطلوب ان نترك السير والتراجم وامهات الكتب ونستمع لهذا الجيل ؟! الحديث عن المشاهير والذين للاسف نالوا مالا يستحقون","0"
"المعنى المراد تداوله حسب وجهة نظركم ايهام لعقول النشئ الصغار في السن ممن هم دون البان هولاء التافهون اكثر اهميه من المعلم الذي يعمل الف دقيقه سنويا و ينشى جيل ويقرأ في التخصص والطبيب الذي يعالج ويمارس والمهندس الذي يخطط والشيخ الفقيه ؟!!! هولاء يكرمون ؟!!","0"
"صراحه انا عرفت عبد الرحمن  من بعد هالحلقه ، انسان راقي جداً، وصراحه عبدالله مايقصر اغلب الضيوف مانحس بالوقت واحنا نسمع سوالفهم ، بالتوفيق","2"
"عنده ذكاء اجتماعي قوي ماشاءالله","2"
"ما حبيته سواليفه كلها درامااا طحت ، زلقت ، اندعست خلااااص","0"
"من الشوق رجعت اشوف الفلوقات القديمه","2"
"بما ان فيصل يروح للقصيم دايم اوصّيه يجرّب مطعم شاورما رهيب لحم بالبكيرية اسمه نهاوند الذ شاورما لحم قد ذقتها","1"
" بسم الله عليك من الجلطه لا تقول كذا","2"
"من كثر الشوق جالسه اعيد ڤلوقاتهم","2"
"فلوووق جمييل","2"
"الفرع الي رحتو يمو حلو","1"
"اول مره اشوف فيصل مبسوط كذا الله يديمها عليكم ","2"
" تأثير الفيصل
يبدو الوليد سعيد جداً بسبب فصلات الفيصل😂","1"
" اسلم يا الشخصنة","1"
"احتاج كثير من هالفلوق ","2"
"فيه فرق بين العجينة الكلاسيكية و السميكة كان قلت له سميكة <:","1"
"مو برياض","1"
"القصيم البدائع","1"
